Date,Symptom,Possible Cause,Corrective Action Taken
2024-11-01,The door does not open fully,Motor pulley loose,Replaced the damaged rollers with new ones
2024-11-05,The door does not open fully,Electrical failure,Checked the motor pulley and tightened it with red Loctite to ensure secure attachment
2024-11-11,The door does not close fully,Motor pulley loose,Removed obstruction from the track and realigned the door
2024-11-10,The door makes a loud noise when opening or closing,Low motor power,Replaced the faulty electrical connector leading to the motor
2024-11-13,The door is misaligned,Low motor power,Replaced the faulty electrical connector leading to the motor
2024-11-06,The door does not open fully,Faulty sensor,Replaced the faulty electrical connector leading to the motor
2024-11-13,The door does not close fully,Electrical failure,Replaced the faulty electrical connector leading to the motor
2024-11-29,The door stops halfway through the cycle,Track obstruction,Cleaned the rollers and removed all debris blocking the door movement
2024-11-09,The door makes a loud noise when opening or closing,Motor misalignment,Cleaned the rollers and removed all debris blocking the door movement
2024-12-07,The door skips when opening or closing,Motor pulley loose,Cleaned the rollers and removed all debris blocking the door movement
2024-12-01,The door skips when opening or closing,Low motor power,Cleaned the rollers and removed all debris blocking the door movement
2024-11-12,The door does not close fully,Chip build-up in the rollers,Removed obstruction from the track and realigned the door
2024-12-07,The door does not open fully,Faulty sensor,Checked the motor pulley and tightened it with red Loctite to ensure secure attachment
2024-11-27,The door skips when opening or closing,Chip build-up in the rollers,Checked the motor pulley and tightened it with red Loctite to ensure secure attachment
2024-12-27,The door is misaligned,Worn-out rollers,Realigned the motor and checked the door track for obstructions
2024-12-16,The door makes a loud noise when opening or closing,Faulty sensor,Replaced the damaged rollers with new ones
2025-01-20,The door skips when opening or closing,Electrical failure,Replaced the damaged rollers with new ones
2025-01-25,The door skips when opening or closing,Track obstruction,Removed obstruction from the track and realigned the door
2024-12-07,The door does not close fully,Low motor power,Realigned the motor and checked the door track for obstructions
2024-12-28,The door makes a loud noise when opening or closing,Chip build-up in the rollers,Checked the motor and found it was underpowered; adjusted settings for optimal performance
2024-12-11,The door does not open fully,Motor misalignment,Removed obstruction from the track and realigned the door
